source_id,designation,ra,dec,Glong,Glat,ecl_lon,ecl_lat,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,pm,random_index,solution_id,dist_bw_hpm_bgs,ra_bgs,era_bgs,dec_bgs,edec_bgs,source_id bgs,plx_bgs,eplx_bgs,pm_bgs,pmra_bgs,epmra_bgs,pmdec_bgs,epmdec_bgs,RUWE_bgs,g_mag_HPMS,bp_mag_HPMS,rp_mag_HPMS,bp_rp_HPMS,bp_g_HPMS,g_rp_HPMS,g_mag_bgs,bp_mag_bgs,rp_mag_bgs,bp_rp_bgs,TIMESTAMP,M_G,DIST,SPEEED,TIME,FAC,YEARS AFTER,DATE,year
4.34E+18,Gaia EDR3 4344487757824513792,247.2025649,-9.528196352,5.865378986,25.85935277,246.9942096,12.10889889,11.44747732,1.984504799,-155.7886105,0.033067968,0.022809964,0.039851733,0.046349425,0.031108648,1.0486568,155.80125,896304013,1.64E+18,0.001236018,247.2025839,0.10645422,-9.529432228,0.07204331,4.34E+18,0.442255333,0.12911169,0.078645535,-0.065809442,0.15059642,-0.043060864,0.10040217,0.9895487,15.25873,16.64467,14.10302,2.5416508,1.3859406,1.1557102,17.642757,18.09359,16.949495,1.1440945,0.00793,10.55227896,0.001236018,155.80125,28.55987869,3601.497943,28.548,12-07-2044,2044
6.03E+18,Gaia EDR3 6031218756135287552,251.1957745,-30.07173074,351.3695301,10.12603998,253.6513073,-7.69346287,7.68282162,-76.47178587,-70.69166516,0.06431867,0.02844109,0.06932965,0.097329974,0.070727155,0.9830365,104.14051,521854821,1.64E+18,0.000834,251.1951182,0.7522881,-30.07234147,0.27892104,6.03E+18,2.820721586,0.7428235,0.1584226,0.132780428,1.4829736,0.086412256,0.8409482,0.98005056,16.648428,18.205917,15.440413,2.765504,1.5574894,1.2080145,20.460655,21.646181,19.251322,2.3948593,0.0086,11.07603175,0.000834,104.14051,28.8302794,3352.35807,30.96,09-12-2046,2046
3.57E+18,Gaia EDR3 3573526074329983872,177.3333425,-12.57225787,280.1655288,47.53548152,182.6380736,-12.57819068,4.224298254,-118.9621668,26.2061343,0.15716924,0.10336062,0.19388984,0.22265211,0.13478418,1.0164602,121.814445,693815790,1.64E+18,0.000549,177.332792,0.18846078,-12.57214378,0.12408589,3.57E+18,-0.079894046,0.22825283,0.1774505,-0.092332697,0.2827367,0.151536633,0.1629471,0.9945352,18.52835,19.893663,17.329704,2.5639591,1.3653126,1.1986465,18.922434,19.205198,18.492407,0.71279144,0.00453,11.65712287,0.000549,121.814445,16.2246768,3581.606358,16.308,18-04-2032,2032
2.28E+18,Gaia EDR3 2275596513783186944,306.5810764,72.051143,105.5848391,18.87210465,39.49642691,76.23149815,3.276298445,-136.5039886,-100.8401336,0.033966023,0.03782752,0.037991032,0.04666097,0.04823443,1.1445999,169.71173,84218878,1.64E+18,0.001124127,306.5796993,0.13299167,72.05010205,0.14875619,2.28E+18,0.12806359,0.15211117,0.23128219,0.221715944,0.17552663,-0.065829262,0.18137409,1.1399418,16.278536,17.147585,15.35373,1.7938547,0.8690491,0.92480564,18.62511,19.270304,17.73253,1.5377731,0.01003,8.855453278,0.001124127,169.71173,23.84547727,2377.41548,36.108,31-01-2052,2052
6.09E+18,Gaia EDR3 6090606368425981440,212.0910595,-50.42260959,315.259551,10.59874523,228.8260953,-34.92635675,10.89076057,-14.2507928,-104.5099187,0.04341334,0.044223957,0.06021365,0.0608497,0.06151323,1.7673061,105.47705,259578430,1.64E+18,0.00065,212.090952,0.6961094,-50.4232556,0.5190603,6.09E+18,1.10839606,0.8662394,0.27843398,0.229875268,1.3078982,-0.157107725,0.79271567,1.0377225,13.956182,14.439771,12.255432,2.1843386,0.48358917,1.7007494,20.008179,9000000000,9000000000,9000000000,0.0061,9.141473052,0.00065,105.47705,22.1849208,3636.872262,21.96,11-12-2037,2037
2.97E+18,Gaia EDR3 2971924477556376320,84.27330066,-16.16261589,219.7066549,-23.53970153,82.86927588,-39.46025001,1.932399248,-87.10714641,79.64628681,0.06941289,0.07196371,0.10713788,0.09685671,0.09610252,1.148159,118.03044,1186687785,1.64E+18,0.000331,84.27303435,0.07649106,-16.16240627,0.0770744,2.97E+18,0.062908896,0.10003348,0.2908657,-0.063959089,0.10198308,0.2837465,0.09462777,1.0413121,17.419802,17.501883,15.895966,1.605917,0.08208084,1.5238361,17.40492,17.452265,16.022463,1.429802,0.0028,8.850286299,0.000331,118.03044,10.09570074,3605.607406,10.08,27-01-2026,2026
3.16E+18,Gaia EDR3 3157758985081656448,106.029721,9.423569473,205.9376379,7.077614402,106.2427192,-13.11642522,1.680017899,53.35427422,-94.71401156,0.10320269,0.09701894,0.113038465,0.12935479,0.121485196,0.86560875,108.70797,1783271286,1.64E+18,0.000573,106.0299697,0.16074266,9.423051171,0.13992067,3.16E+18,0.287820695,0.1651914,0.26368493,0.250331061,0.19068283,0.082849859,0.16432582,1.0353903,17.58245,18.258268,16.591454,1.6668148,0.6758175,0.9909973,18.112604,18.379267,17.550688,0.82857895,0.00516,8.709019544,0.000573,108.70797,18.97560961,3677.443722,18.576,25-07-2034,2034
4.04E+18,Gaia EDR3 4039027171199811712,271.3762737,-35.55734592,356.3641456,-6.951033849,271.1451653,-12.1235359,2.095344242,-52.71668872,-112.2297719,0.1710423,0.15219353,0.20725894,0.21406338,0.16005008,1.2230549,123.99424,1699200806,1.64E+18,0.000853,271.3759761,0.38006765,-35.55816433,0.32409984,4.04E+18,0.198851685,0.4405152,0.41689438,-0.406735022,0.6056353,0.091474232,0.39647076,0.93018395,18.26422,18.972137,17.203768,1.7683697,0.70791817,1.0604515,19.437725,19.698744,18.562634,1.1361103,0.0068,9.870496915,0.000853,123.99424,24.76566653,3642.009784,24.48,18-06-2040,2040
4.10E+18,Gaia EDR3 4095182013143779456,270.7666702,-19.97277238,9.737498922,1.116356475,270.7218903,3.464587264,3.379512011,-61.05247144,-157.6990822,0.13475557,0.1169382,0.15372013,0.16779102,0.12360281,0.9122236,169.10472,1587591719,1.64E+18,0.001285939,270.7662409,0.8358577,-19.97399339,0.74164385,4.10E+18,0.85966923,0.94939655,0.42103583,-0.420786048,1.0439467,-0.014500711,0.75517803,1.0330724,18.240608,19.387331,17.192799,2.1945324,1.1467228,1.0478096,20.509354,21.891684,19.292614,2.5990696,0.00753,10.88487797,0.001285939,169.10472,27.37582014,3635.567084,27.108,02-02-2043,2043
1.75E+17,Gaia EDR3 174835302438168192,68.63334669,35.54053287,165.7525032,-8.179403868,72.25580497,13.40816804,14.26428881,89.70083914,-119.8853105,0.014793935,0.010179214,0.016401608,0.019732298,0.015906658,1.1757085,149.72885,1220665468,1.64E+18,0.001162597,68.63411363,0.049897846,35.53955196,0.035098985,1.75E+17,0.53471451,0.056375615,0.39488176,0.340550419,0.067917444,0.199892504,0.05477456,0.9570308,12.170486,13.113826,11.208907,1.9049187,0.94333935,0.9615793,16.419405,17.152338,15.374323,1.7780151,0.00823,7.941736617,0.001162597,149.72885,27.95285745,3396.458985,29.628,10-08-2045,2045
5.94E+18,Gaia EDR3 5944714438278876160,247.3805636,-42.36582515,340.0417471,4.266074195,252.3625494,-20.3016429,3.569106034,-106.460988,-47.39146423,0.3823743,0.2773975,0.4320744,0.5562002,0.4200108,1.0644909,116.5328,1556084581,1.64E+18,0.000596,247.3798377,0.8612775,-42.36608566,0.5610108,5.94E+18,-0.435112675,0.7595379,0.4839654,0.120246579,1.7169116,-0.468789146,1.2167443,1.0026008,19.639532,21.440882,18.40421,3.0366726,1.8013496,1.235323,20.315424,9000000000,9000000000,9000000000,0.00643,12.40232925,0.000596,116.5328,18.41198358,2863.450012,23.148,18-02-2039,2039
